Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.838550333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.838626083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.838626166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.838677333333333, 0, 1, 1, 1, 1, 1, 1, 1
2.838678333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.838702916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838703000000000, 0, 0, 1, 1, 1, 1, 1, 1
2.838728500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.838729500000000, 0, 1, 0, 1, 1, 1, 1, 1
2.838805333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.838830916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.838831916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.838856500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.838856583333333, 0, 0, 1, 1, 1, 1, 1, 1
2.838907750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.838908750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.838984500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.838984583333334, 0, 0, 1, 1, 1, 1, 1, 1
2.839010166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.839011166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.840008583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.840008666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.840034166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.840035166666667, 0, 1, 0, 1, 1, 1, 1, 1
2.840136583333333, 0, 1, 1, 1, 1, 1, 1, 1
2.840136666666667, 0, 0, 1, 1, 1, 1, 1, 1
